Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Latitude,Longitude,cluster
Thailand,Chachoengsao,136.25,3.0,3.0,2.5,135,13.6093192,101.5467201,0
Thailand,Chaiyo,112.0,2.0,12.0,2.5,112,14.6646588,100.4671088,0
Thailand,Yaring,94.0,1.0,29.0,0.0,94,6.8650106,101.3713314,1
Indonesia,Babakan,54.0,1.0,34.0,0.0,54,-6.86039265,108.71875697343029,1
Malaysia,Beranang,90.0,2.0,44.0,1.0,90,2.8746114,101.8719856,2
Thailand,Betong,51.0,1.0,32.0,0.0,51,5.7718215,101.0715158,1
Indonesia,Cileunyi,64.0,1.0,37.0,1.0,64,-6.9455676,107.7464682,1
Philippines,Taytay,65.0,1.0,23.0,1.0,65,14.5706996,121.13202,1
Indonesia,Tomohon,24.0,1.0,16.0,0.0,24,1.3255914,124.838605,1
Philippines,Bunawan,54.0,1.0,18.0,0.0,54,8.1787968,125.9942065,1
Philippines,Codcod,58.0,1.0,23.0,0.0,58,10.4580638,123.2167268,1
Philippines,Aringay,59.0,1.0,24.0,1.0,59,16.3908215,120.3561677,1
Thailand,Bangkok,69.0,1.0,25.0,1.0,69,13.7524938,100.4935089,1
Indonesia,Bengkalis,38.0,1.0,19.0,0.0,38,1.76972265,101.91243842805495,1
Thailand,Chumphon,41.0,0.0,15.0,0.0,41,10.3782724,99.0077685,1
Indonesia,Cidahu,112.0,2.0,51.25,1.0,112,-7.3752602,106.6213262,2
Thailand,Phra Phutthabat,112.0,2.0,18.0,2.5,112,14.7249566,100.792102,0
Philippines,Pila,89.0,2.0,26.0,2.5,89,14.2347317,121.3640614,0
Philippines,Santa Ana,136.25,2.0,25.0,2.5,135,18.4572501,122.1421667,0
Thailand,Ron Phibun,119.0,3.0,5.0,2.5,119,8.1541306,99.8407292,0
Indonesia,Delanggu,136.25,3.5,3.0,2.5,135,-7.6160548,110.7002444,0
Philippines,Siquijor,54.0,1.0,24.0,0.0,54,9.18,123.58,1
Indonesia,Srono,90.0,3.0,18.0,2.5,90,-8.4046066,114.2628193,0
Philippines,Dumaguete,89.0,1.0,15.0,0.0,89,9.3054777,123.3080446,1
Philippines,Mariveles,42.0,0.0,27.0,0.0,42,14.4340599,120.4862073,1
Thailand,Mukdahan,61.0,0.0,30.0,0.0,61,16.6972385,104.3470293,1
Thailand,Nakhon Phanom,59.0,0.0,28.0,0.0,59,17.1990989,104.6089459,1
Philippines,Mambajao,112.0,1.0,23.0,0.0,112,9.2456944,124.7269435,1
Philippines,Katipunan,136.25,1.0,14.0,0.0,135,14.6312599,121.073293,1
Indonesia,Kepanjen,41.0,1.0,26.0,0.0,41,-8.1320044,112.5733289,1
Indonesia,Kawalu,58.0,1.0,34.0,0.0,58,-1.9593,123.8495,1
Malaysia,Kota Belud,40.0,1.0,22.0,0.0,40,6.3497629,116.4292891,1
Myanmar,Pakokku,25.0,0.0,25.0,0.0,19,21.3342915,95.0765121524959,1
Thailand,Khao Yoi,36.0,0.0,17.0,0.0,36,13.2346535,99.8237962,1
Thailand,Satuk,41.0,0.0,28.0,0.0,41,15.278928050000001,103.27452097266185,1
Thailand,Tak,68.0,0.0,19.0,0.0,68,17.1053568,98.9953943,1
Indonesia,Tangerang,136.25,3.5,51.25,2.5,135,-6.1761924,106.6382161,2
Philippines,Tangub,50.0,0.0,15.0,0.0,50,8.0609053,123.7512585,1
Philippines,Rizal,84.0,1.0,31.0,1.0,84,14.65,121.25,1
Thailand,Chaiya,59.0,1.0,23.0,0.0,59,9.388465,99.1953268,1
Thailand,Ayutthaya,50.0,0.0,27.0,0.0,50,14.3189468,100.5111681,1
Indonesia,Bae,80.0,2.0,51.25,1.0,80,-6.7692484,110.8541378,2
Philippines,Baganga,52.0,1.0,17.0,0.0,52,7.5748266,126.5616958,1
Philippines,Digos,60.0,1.0,20.0,0.0,60,6.7440957,125.3555319,1
Indonesia,Cisarua,136.25,3.0,51.25,1.0,115,-6.70841215,106.96227504141362,2
Indonesia,Wonogiri,51.0,1.0,28.0,0.0,51,-7.9620507,110.95757325155418,1
Philippines,Tagbina,52.0,1.0,20.0,0.0,52,8.4573568,126.1590719,1
Thailand,Tha Rua,51.0,0.0,28.0,0.0,51,14.5624805,100.7244318,1
Myanmar,Thanatpin,59.0,0.0,23.0,0.0,59,17.2932802,96.5786126,1
Thailand,Udon Thani,54.0,0.0,25.0,0.0,54,17.5211917,102.6680012,1
Indonesia,Gorontalo,25.0,0.0,15.0,0.0,25,0.7186174,122.4555927,1
Indonesia,Purbalingga,66.0,1.0,44.0,1.0,66,-7.32733005,109.39989874266684,2
Indonesia,Ceper,67.0,1.0,38.0,1.0,67,-7.6731542,110.6778035,1
Indonesia,Maumere,60.0,1.0,26.0,0.0,60,-8.6256456,122.2192885,1
Philippines,Maramag,36.0,1.0,22.0,0.0,36,7.7611218,125.0047932,1
Philippines,Vigan,31.0,1.0,31.0,0.0,20,17.5755487,120.3872632,1
Thailand,Damnoen Saduak,42.0,0.0,21.0,0.0,42,13.5201944,99.9592936,1
Indonesia,Dampit,53.0,1.0,31.0,0.0,53,-8.2129316,112.7512862,1
Indonesia,Bitung,28.0,0.0,15.0,0.0,28,1.44344,125.1940836,1
Thailand,Pa Sang,22.0,0.0,22.0,0.0,17,18.5222909,98.939963,1
Thailand,Pak Chong,45.0,1.0,26.0,0.0,45,14.7050481,101.4105911,1
Philippines,Pandi,62.0,1.0,25.0,2.0,62,14.8654061,120.9572464,1
Indonesia,Pekalongan,123.0,3.5,51.25,1.0,123,-7.0418471,109.61988748140061,2
Indonesia,Pemangkat,39.0,1.0,16.0,0.0,39,1.156069,108.97129192715386,1
Thailand,Phimai,43.0,0.0,25.0,0.0,43,15.2186109,102.4945756,1
Indonesia,Babat,136.25,3.0,51.25,1.0,135,-3.220707,104.0586265,2
Indonesia,Kresek,136.25,3.5,51.25,2.5,135,-6.148365549999999,106.40313771169049,2
Philippines,Labangan,42.0,0.0,13.0,0.0,42,7.8633445,123.5153101,1
Thailand,Lamphun,21.0,0.0,21.0,0.0,17,18.2661422,98.96749,1
Philippines,Natappian,42.0,1.0,35.0,0.0,42,17.6738427,121.70703872617815,1
Thailand,Huai Thalaeng,42.0,1.0,25.0,0.0,42,14.9981271,102.6453197,1
Indonesia,Sewon,67.0,1.0,36.0,1.0,67,-7.856156349999999,110.35246295798738,1
Thailand,Tha Mai,41.0,0.0,18.0,0.0,41,13.8869847,99.8024761,1
Thailand,Takhli,27.0,0.0,23.0,0.0,27,15.2615395,100.3497755,1
Malaysia,Tanjong Karang,69.0,2.0,45.0,2.0,69,3.4248609,101.1765284,2
Malaysia,Tanjong Sepat,73.0,2.0,30.0,1.0,73,2.659941,101.562905,2
Indonesia,Semarang,136.25,3.5,17.0,2.5,135,-6.9903988,110.4229104,0
Indonesia,Rangkasbitung,136.25,3.5,9.0,2.5,135,-6.3526482,106.2515306,0
Indonesia,Rantauprapat,97.0,3.0,2.0,2.5,97,2.100033,99.82719358387867,0
Philippines,Santa Ignacia,136.25,2.0,25.0,2.5,135,15.6161567,120.4359327,0
Thailand,Bang Krathum,86.0,2.0,14.0,2.5,86,16.5766834,100.2990041,0
Indonesia,Buaran,136.25,3.5,27.0,2.5,135,-6.2156064,106.92316,0
Philippines,Calauan,92.0,2.0,26.0,2.5,92,14.1453986,121.3149851,0
Indonesia,Soreang,136.25,3.5,5.0,2.5,135,-7.0268685,107.5167964,0
Indonesia,Grogol,136.25,3.5,7.0,2.5,135,-6.162071,106.7888748,0
Malaysia,Gua Musang,67.0,2.0,2.0,2.0,67,4.8792724,101.9652332,0
Philippines,Irosin,55.0,1.0,21.0,0.0,55,12.7038417,124.0320966,1
